  info index.js:315 Image ready. +44ms
 +266msy index.js:287  TARGETRPM: 100.00 GAP: -34.73 GGAP: 34.73 RPM: 134.73 (smoothed): 134 HZ: 2.25 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +500msy index.js:287  TARGETRPM: 100.00 GAP: -34.47 GGAP: 34.47 RPM: 134.47 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +501msy index.js:287  TARGETRPM: 100.00 GAP: -34.18 GGAP: 34.18 RPM: 134.18 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +499msy index.js:287  TARGETRPM: 100.00 GAP: -34.29 GGAP: 34.29 RPM: 134.29 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +500msy index.js:287  TARGETRPM: 100.00 GAP: -34.50 GGAP: 34.50 RPM: 134.50 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +500msy index.js:287  TARGETRPM: 100.00 GAP: -34.39 GGAP: 34.39 RPM: 134.39 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +501msy index.js:287  TARGETRPM: 100.00 GAP: -34.12 GGAP: 34.12 RPM: 134.12 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +499msy index.js:287  TARGETRPM: 100.00 GAP: -33.90 GGAP: 33.90 RPM: 133.90 (smoothed): 134 HZ: 2.23 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +501msy index.js:287  TARGETRPM: 100.00 GAP: -33.99 GGAP: 33.99 RPM: 133.99 (smoothed): 134 HZ: 2.23 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +500msy index.js:287  TARGETRPM: 100.00 GAP: -34.16 GGAP: 34.16 RPM: 134.16 (smoothed): 134 HZ: 2.24 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
 +499msy index.js:287  TARGETRPM: 100.00 GAP: -33.80 GGAP: 33.80 RPM: 133.80 (smoothed): 133 HZ: 2.23 Ascending: 1 Power: 2600.00 Voltage: 2.09 Output: 0.00
